,aggregate,predictions,Scaling_1,residuals,hour_cosin,minute_cosin,Attack_Belief,NonAttack_Belief,Targets
0,0.087630436,0.10293603,0.087630436,0.015305595,1.0,1.0,0.0,1.0,0
1,0.07709848,0.11109556,0.07709848,0.033997074,0.99785894,2.8327693e-16,0.0,1.0,0
2,0.0832803,0.11042123,0.0832803,0.027140921,0.9914449,-1.0,0.0,1.0,0
3,0.0770687,0.11133648,0.07706871,0.034267783,0.98078525,-1.8369701e-16,0.0,1.0,0
4,0.0840606,0.11138587,0.08406061,0.027325263,0.9659258,1.0,0.0,1.0,0
5,0.077233076,0.112809874,0.07723308,0.035576787,0.9469301,2.8327693e-16,0.0,1.0,0
6,0.07709848,0.10768241,0.07709848,0.03058393,0.9238795,-1.0,0.0,1.0,0
7,0.077212125,0.10554811,0.077212125,0.028335989,0.89687276,-1.8369701e-16,0.0,1.0,0
8,0.0835,0.108830266,0.0835,0.025330264,0.8660254,1.0,0.0,1.0,0
9,0.07682443,0.111998655,0.07682443,0.03517422,0.8314696,2.8327693e-16,0.0,1.0,0
10,0.08360606,0.107987046,0.08360606,0.024380988,0.7933533,-1.0,0.0,1.0,0
11,0.10421053,0.105022036,0.104210526,0.0008115097,0.7518398,-1.8369701e-16,0.0,1.0,0
12,0.109053835,0.110017575,0.109053835,0.0009637331,0.70710677,1.0,0.0,1.0,0
13,0.113897145,0.116230175,0.11389715,0.0023330227,0.6593458,2.8327693e-16,0.0,1.0,0
14,0.11874046,0.11522831,0.11874046,0.003512148,0.6087614,-1.0,0.0,1.0,0
15,0.10193893,0.114196606,0.101938926,0.012257678,0.55557024,-1.8369701e-16,0.0,1.0,0
16,0.085137405,0.114002205,0.085137405,0.028864799,0.5,1.0,0.0,1.0,0
17,0.080684215,0.11358125,0.080684215,0.03289703,0.4422887,2.8327693e-16,0.0,1.0,0
18,0.08056489,0.10673684,0.08056489,0.02617196,0.38268343,-1.0,0.0,1.0,0
19,0.08057576,0.10293819,0.08057576,0.022362433,0.32143947,-1.8369701e-16,1.7283e-40,1.0,0
20,0.08729008,0.11010032,0.08729008,0.022810254,0.25881904,1.0,3.3976214e-08,1.0,0
21,0.08676515,0.11926813,0.086765155,0.03250298,0.19509032,2.8327693e-16,2.4543763e-08,1.0,0
22,0.08076516,0.10384194,0.08076515,0.023076788,0.13052619,-1.0,2.765846e-09,1.0,0
23,0.080446966,0.122403055,0.080446966,0.041956086,0.065403126,-1.8369701e-16,1.8625173e-08,1.0,0
24,0.08015909,0.15887886,0.08015909,0.07871977,6.123234e-17,1.0,6.1902905e-09,1.0,0
25,0.08002273,0.20067929,0.08002273,0.120656565,-0.065403126,2.8327693e-16,2.234019e-08,1.0,0
26,0.099886365,0.12964706,0.099886365,0.029760687,-0.13052619,-1.0,7.6664997e-10,1.0,0
27,0.10529263,0.1276047,0.10529264,0.022312064,-0.19509032,-1.8369701e-16,6.9603256e-10,1.0,0
28,0.1106989,0.12928101,0.11069891,0.018582102,-0.25881904,1.0,1.0023847e-12,1.0,0
29,0.11610518,0.13734367,0.116105184,0.02123849,-0.32143947,2.8327693e-16,3.163799e-11,1.0,0
30,0.121511444,0.12045847,0.12151145,0.0010529744,-0.38268343,-1.0,7.0648967e-09,1.0,0
31,0.0937218,0.11424924,0.09372181,0.020527437,-0.4422887,-1.8369701e-16,3.0086732e-12,1.0,0
32,0.09287121,0.10697797,0.09287122,0.014106758,-0.5,1.0,1.396745e-15,1.0,0
33,0.09252985,0.10965678,0.092529856,0.017126929,-0.55557024,2.8327693e-16,2.0350588e-09,1.0,0
34,0.08181203,0.104471795,0.08181203,0.022659771,-0.6087614,-1.0,1.2095561e-09,1.0,0
35,0.07982576,0.09273195,0.07982576,0.012906191,-0.6593458,-1.8369701e-16,4.1971653e-09,1.0,0
36,0.07963433,0.096148275,0.07963433,0.016513946,-0.70710677,1.0,2.135482e-10,1.0,0
37,0.079401515,0.10036024,0.079401515,0.020958724,-0.7518398,2.8327693e-16,3.2106229e-09,1.0,0
38,0.07940909,0.09958904,0.07940909,0.020179948,-0.7933533,-1.0,1.1385595e-09,1.0,0
39,0.07950376,0.09247087,0.07950376,0.012967111,-0.8314696,-1.8369701e-16,3.6314431e-09,1.0,0
40,0.07934091,0.096468486,0.07934091,0.017127575,-0.8660254,1.0,3.3787495e-09,1.0,0
41,0.07946565,0.101951435,0.07946565,0.02248578,-0.89687276,2.8327693e-16,3.936905e-09,1.0,0
42,0.079183206,0.10188074,0.079183206,0.022697534,-0.9238795,-1.0,9.49924e-10,1.0,0
43,0.07909091,0.093968384,0.07909091,0.01487747,-0.9469301,-1.8369701e-16,4.5781405e-09,1.0,0
44,0.08824243,0.097669385,0.08824243,0.009426961,-0.9659258,1.0,2.455288e-09,1.0,0
45,0.10063889,0.107397646,0.10063889,0.0067587513,-0.98078525,2.8327693e-16,1.0171171e-10,1.0,0
46,0.11303535,0.11081503,0.11303535,0.0022203235,-0.9914449,-1.0,9.279358e-12,1.0,0
47,0.1254318,0.107663214,0.12543182,0.017768597,-0.99785894,-1.8369701e-16,8.959743e-11,1.0,0
48,0.07914394,0.118554555,0.07914394,0.03941062,-1.0,1.0,2.392149e-08,1.0,0
49,0.07911193,0.11111646,0.07911194,0.03200452,-0.99785894,2.8327693e-16,4.154221e-09,1.0,0
50,0.07899243,0.10480637,0.07899243,0.025813945,-0.9914449,-1.0,7.779213e-10,1.0,0
51,0.079159096,0.09379673,0.07915909,0.014637639,-0.98078525,-1.8369701e-16,4.723664e-09,1.0,0
52,0.07914504,0.09870589,0.07914504,0.019560851,-0.9659258,1.0,6.5079666e-09,1.0,0
53,0.07881819,0.1040702,0.07881818,0.025252018,-0.9469301,2.8327693e-16,4.6958077e-09,1.0,0
54,0.07901503,0.10333656,0.07901503,0.024321523,-0.9238795,-1.0,9.727347e-10,1.0,0
55,0.079265155,0.092677094,0.07926515,0.013411937,-0.89687276,-1.8369701e-16,4.162168e-09,1.0,0
56,0.079106875,0.09801798,0.079106875,0.01891111,-0.8660254,1.0,3.7324948e-09,1.0,0
57,0.078825764,0.10447623,0.07882576,0.025650471,-0.8314696,2.8327693e-16,3.9914956e-09,1.0,0
58,0.078563906,0.105454974,0.078563906,0.026891064,-0.7933533,-1.0,1.3167452e-09,1.0,0
